limbic lobe,fornicate gyrus,limbic lobe (carpenter),grande lobe limbique of broca,fornicate lobe,lobus limbicus,gyrus fornicatus,fornicate convolution,,,,,,,,,,,,,,,,,,,,,
anterior transverse temporal gyrus,first transverse gyrus of Heschl,anterior transverse temporal convolution of heschl,anterior transverse convolution of heschl,great transverse gyrus of Heschl,gyrus temporalis transversus primus,gyrus temporalis transversus anterior,,,,,,,,,,,,,,,,,,,,,,
posterior transverse temporal gyrus,posterior transverse temporal convolution of heschl,posterior transverse convolution of heschl,gyrus temporalis transversus posterior,,,,,,,,,,,,,,,,,,,,,,,,,
subcallosal area,adolfactory area,area paraolfactoria,paraolfactory area,parolfactory area,area subcallosa,Zuckerkandl's gyrus,area parolfactoria,,,,,,,,,,,,,,,,,,,,,
central gray substance of midbrain,griseum centrale,substantia grisea centralis,periaqueductal gray of tegmentum,periaqueductal grey matter,periaqueductal gray,central (periaqueductal) gray,periaqueductal grey,periaqueductal grey substance,anulus of cerebral aqueduct,midbrain periaqueductal grey,periaqueductal gray matter,central gray of the midbrain,anulus aquaeductus,central gray,"periaqueductal gray, proper",central gray substance of the midbrain,central grey substance of midbrain,anulus aqueductus cerebri,substantia grisea centralis mesencephali,griseum centrale mesencephali,central grey,s. grisea centralis,griseum periventriculare mesencephali,periaquectuctal grey,,,,
posterior hypothalamic region,mammillary level of hypothalamus,posterior hypothalamus,mammillary region,regio hypothalamica posterior,hypothalamus posterior,,,,,,,,,,,,,,,,,,,,,,,
anteromedial nucleus of thalamus,nucleus anteromedialis,nucleus anterior thalami medialis,nucleus anterior medialis,nucleus anteromedialis (hassler),anteromedial nucleus of the thalamus,anteromedial thalamic nucleus,nucleus thalamicus anteromedialis,anteromedial nucleus,nucleus anterior medialis thalami,nucleus anteromedialis thalami,,,,,,,,,,,,,,,,,,
tail of caudate nucleus,caudate nuclear tail,cauda nuclei caudati,tail of the caudate nucleus,cauda (caudatus),,,,,,,,,,,,,,,,,,,,,,,,
Brodmann (1909) area 24,,area 24 of Brodmann-1909,,ventral anterior cingulate,area cingularis anterior ventralis,area 24 of Brodmann-1905 (guenon),anterior cingulate area,agranular cingulate area,,,,,,,,,,,,,,,,,,,,
Brodmann (1909) area 11,area praefrontalis,medial orbital area,area 11 of Brodmann-1909,area 11 of Brodmann (guenon),area orbitalis interna,brodmann's area 11,,,,,,,,,,,,,,,,,,,,,,
cerebellar vermis,vermis cerebelli [I-X],vermal parts of the cerebellum,vermal regions,vermis of cerebellum,cerebellum vermis,vermis of cerebellum [I-X],vermis,vermis cerebelli,,,,,,,,,,,,,,,,,,,,
intraparietal sulcus,interparietal fissure,sulcus interparietalis,intraparietal fissure,Turner sulcus,sulcus intraparietalis,intraparietal sulcus of Turner,,,,,,,,,,,,,,,,,,,,,,
primary visual cortex,Brodmann area 17,area 17 of Brodmann-1909,striate cortex,striate area,area striata,occipital visual neocortex,area 17 of Brodmann,calcarine cortex,visual area V1,V1,visual association cortex,,primary visual area,visual area one,,nerve X,,,,,,,,,,,,
parieto occipital sulcus,parieto occipital fissure,sulcus parieto occipitalis,sulcus parieto occipitalis medialis,fissura parieto occipitalis,sulcus parietoccipitalis,parieto occipital incisure,parietooccipital sulcus,sulcus parietooccipitalis,fissura parietooccipitalis,posterior orbital sulcus,,,,,,,,,,,,,,,,,,
primary motor cortex,motor cortex,prefrontal gyrus,gyrus precentralis,somatic motor areas,Rolando's area,somatomotor areas,excitable area,primary motor area,motor area,,,,,,,,,,,,,,,,,,,
auditory cortex,anterior transverse temporal area 41,,auditory area,temporal auditory neocortex,Auditory areas,posterior transverse temporal area 42,,,,,,,,,,,,,,,,,,,,,,
primary auditory cortex,primary auditory cortex (core),primary auditory area,auditory core region,auditory complex area A1,,,,,,,,,,,,,,,,,,,,,,,,
secondary auditory cortex,"secondary auditory cortex (belt, area 42)",second auditory area,belt area of auditory complex,second auditory cortex,,,,,,,,,,,,,,,,,,,,,,,,
somatosensory cortex,somatic sensory cortex,primary somatic sensory cortex,somesthetic area,somatosensory area,somatosensory areas,,,,,,,,,,,,,,,,,,,,,,,
corpus striatum,striate body,,,,,,,,,,,,,,,,,,,,,,,,,,,
basolateral amygdaloid nuclear complex,basolateral subdivision of amygdala,pars basolateralis (Corpus amygdaloideum),basolateral nuclear complex,,amygdalar basolateral nucleus,basolateral amygdala,vicarious cortex,basolateral nuclei of amygdala,basolateral nuclear group,amygdaloid basolateral complex,basolateral complex,set of basolateral nuclei of amygdala,,,,,,,,,,,,,,,,
central amygdaloid nucleus,central nucleus of amygdala,central amygdala,central nucleus of amygda,nucleus amygdaloideus centralis,central nucleus of the amygdala,amygdala central nucleus,central nuclear group,nucleus centralis amygdalae,central amygdalar nucleus,nucleus amygdalae centralis,central nucleus amygdala,,,,,,,,,,,,,,,,,
basal amygdaloid nucleus,basolateral amygdalar nucleus,basolateral amygdaloid nucleus,nucleus amygdalae basalis lateralis,intermediate principal nucleus,basolateral amygaloid nucleus,basolateral nucleus (de olmos),basal nucleus of the amygdala,basolateral nucleus of amygdala,nucleus amygdalae basalis,nucleus basalis amygdalae,nucleus amygdaloideus basolateralis,basolateral nucleus of the amygdala,nucleus amygdaloideus basalis,,,,,,,,,,,,,,,
lateral amygdaloid nucleus,lateral nucleus of amygdala,lateral principal nucleus of amygdala,nucleus amygdaloideus lateralis,nucleus lateralis amygdalae,lateral nucleus of the amygdala,lateral amygdalar nucleus,nucleus amygdalae lateralis,medial principal nucleus,lateral amygdala,,,,,,,,,,,,,,,,,,,
anterior amygdaloid area,anterior amygdalar area,anterior amygaloid area,area amydaliformis anterior,area anterior amygdalae,anterior cortical nucleus,area amygdaloidea anterior,,,,,,,,,,,,,,,,,,,,,,
suprageniculate nucleus of thalamus,suprageniculate thalamic nucleus,nucleus suprageniculatus,suprageniculate nucleus,,,,,,,,,,,,,,,,,,,,,,,,,
oral pulvinar nucleus,oral portion of pulvinar,oral nuclear group of pulvinar,oral part of pulvinar,anterior pulvinar nucleus,nucleus pulvinaris oralis,nucleus pulvinaris oralis thalami,nucleus pulvinaris anterior,,,,,,,,,,,,,,,,,,,,,
medial pulvinar nucleus,nucleus pulvinaris medialis,"nucleus pulvinaris thalami, pars medialis",nucleus pulvinaris medialis thalami,,,,,,,,,,,,,,,,,,,,,,,,,
epithalamus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pineal body,pineal gland,glandula pinealis,pineal organ,corpus pineale,pineal gland (Galen),frontal organ,stirnorgan,epiphysis cerebri,conarium,epiphysis,,,,,,,,,,,,,,,,,,
retrosplenial region,retrosplenial area,retrosplenial cortex,,,,,,,,,,,,,,,,,,,,,,,,,,
anterodorsal nucleus of thalamus,,nucleus anterodorsalis thalami,nucleus anterodorsalis (hassler),anterodorsal nucleus,nucleus anterior dorsalis,nucleus anterior dorsalis thalami,nucleus anterior thalami dorsalis,anterodorsal thalamic nucleus,nucleus anterosuperior,nucleus anterodorsalis,anterodorsal nucleus of the thalamus,anterior dorsal thalamic nucleus,nucleus thalamicus anterodorsalis,nucleus anterodorsalis of thalamus,,,,,,,,,,,,,,
anteroventral nucleus of thalamus,,nucleus anterior ventralis,nucleus anteroventralis,anteroprincipal thalamic nucleus,anteroventral thalamic nucleus,,nucleus anteroinferior,nucleus thalamicus anteroventralis,nucleus anterior thalami ventralis,nucleus anteroventralis thalami,anteroventral nucleus of the thalamus,anteroventral nucleus,nucleus thalamicus anteroprincipalis,anterior ventral nucleus of thalamus,nucleus anterior principalis (Hassler),ventroanterior nucleus,,,,,,,,,,,,
substantia nigra pars compacta,,"substantia nigra, compact part",substantia nigra compacta,pars compacta substantiae nigrae,compact part of substantia nigra,,substantia nigra compact part,pars compacta,"substantia nigra, compact division",,,,,,,,,,,,,,,,,,,
substantia nigra pars reticulata,,"substantia nigra, reticular part","substantia nigra, pars diffusa",pars reticularis,"nucleus substantiae nigrae, Pars reticularis",pars reticularis substantiae nigrae,reticular part of substantia nigra,pars reticulata,"substantia nigra, reticular division",substantia nigra reticular part,"substantia nigra, pars reticulata",,,,,,,,,,,,,,,,,
parabrachial nucleus,parabrachial nuclei,parabrachial area,parabrachial complex,,,,,,,,,,,,,,,,,,,,,,,,,
ventral tegmental area,ventral tegmental nucleus (tsai),ventral tegmental nucleus of tsai,ventral tegmental area of tsai,area tegmentalis ventralis (Tsai),ventral brain stem,ventromedial mesencephalic tegmentum,ventral tegmental area (Tsai),tegmentum ventrale,ventral tegmental nucleus (Rioch),area tegmentalis ventralis,,,,,,,,,,,,,,,,,,
olivary body,olive body,olivary nucleus,,,,,,,,,,,,,,,,,,,,,,,,,,
area postrema,chemoreceptor trigger zone,,,,,,,,,,,,,,,,,,,,,,,,,,,
cranial nerve nucleus,cranial neural nucleus,nucleus of cranial nerve,nucleus nervi cranialis,,,,,,,,,,,,,,,,,,,,,,,,,
nucleus of solitary tract,solitary tract nucleus,nucleus tractus solitarii medullae oblongatae,nucleus of tractus solitarius,nucleus of the tractus solitarius,solitary nucleus,Geschmackskern@ge,nucleus tracti solitarii,solitary nuclear complex,nucleus of the solitary tract,nucleus tractus solitarii,nuclei tractus solitarii,nucleus solitarius,,,,,,,,,,,,,,,,
hypoglossal nucleus,hypoglossal nerve nucleus,,hypoglossal XII nucleus,nucleus of hypoglossal nerve,twelfth cranial nerve nucleus,nucleus nervi hypoglossi,nucleus hypoglossalis,,,,,,,,,,,,,,,,,,,,,
dorsal motor nucleus of vagus nerve,dorsal efferent nucleus of vagus,dorsal vagal nucleus,nucleus alaris,dorsal motor nucleus of the vagus (vagal nucleus),dorsal motor nucleus of vagus X nerve,posterior nucleus of vagus nerve,dorsal motor nucleus,dorsal motor vagal nucleus,nucleus vagalis dorsalis,dorsal motor nucleus of the vagus nerve,nucleus alaris (Oertel),nucleus posterior nervi vagi,,dorsal motor nucleus of the vagus,,nucleus dorsalis motorius nervi vagi,nucleus dorsalis nervi vagi,dorsal nucleus of the vagus nerve,dorsal motor nucleus of vagus,vagus nucleus,dorsal nucleus of vagus nerve,,,,,,,
nucleus ambiguus,ambiguus nucleus,nucleus innominatus,ambiguous nucleus,,,,,,,,,,,,,,,,,,,,,,,,,
parvocellular oculomotor nucleus,edinger westphal nucleus,nucleus Edinger Westphal,accessory oculomotor nucleus,edinger Westphal nucleus of oculomotor nerve,"oculomotor nucleus, parvicellular part",nucleus nervi oculomotorii Edinger Westphal,nuclei accessorii nervi oculomtorii (Edinger-Westphal),nucleus nervi oculomotorii parvocellularis,"oculomotor nucleus, parvocellular part",nucleus Westphal Edinger,nucleus Edinger Westphal,nucleus rostralis nervi oculomotorii,,,,,,,,,,,,,,,,
trochlear nucleus,fourth cranial nerve nucleus,,trochlear motor nucleus,nucleus of trochlear nerve,trochlear IV nucleus,motor nucleus IV,nucleus nervi trochlearis,,,,,,,,,,,,,,,,,,,,,
motor nucleus of trigeminal nerve,nucleus motorius nervi trigemini,trigeminal motor nucleus,trigeminal motor nuclei,motor trigeminal nucleus,,motor nucleus of cranial nerve v,trigeminal V motor nucleus,,motor nucleus of the trigeminal,Motor nucleus of trigeminal,nucleus motorius trigeminalis,motor nucleus of the trigeminal nerve,nucleus motorius nervi trigeminalis,motor nucleus,,,,,,,,,,,,,,
abducens nucleus,nucleus of abducens nerve (VI),abducens motor nuclei,abducent nucleus,abducens VI nucleus,nucleus of abducens nerve,sixth cranial nerve nucleus,nucleus nervi abducentis,,abducens motor nucleus,abducens nerve nucleus,abducens nucleus proper,nucleus abducens,,,,,,,,,,,,,,,,
facial nucleus,facial VII nucleus,facial nerve nucleus,nucleus of facial nerve,facial VII motor nucleus,,,,,,,,,,,,,,,,,,,,,,,,
vestibular nuclear complex,nuclei vestibulares in medulla oblongata,vestibular nuclei in medulla oblongata,vestibular nuclei,vestibular nucleus,nuclei vestibulares,,,,,,,,,,,,,,,,,,,,,,,
spinal nucleus of trigeminal nerve,spinal trigeminal nucleus,spinal nucleus of cranial nerve v,trigeminal v spinal sensory nucleus,trigeminal nerve spinal tract nucleus,trigeminal spinal nucleus,nucleus spinalis nervi trigemini,trigeminal spinal sensory nucleus,Spinal nucleus of the trigeminal,,,,,,,,,,,,,,,,,,,,
locus ceruleus,locus coeruleus,caerulean nucleus,blue nucleus,nucleus pigmentosus pontis,substantia ferruginea,locus coeruleu,nucleus caeruleus,nucleus of locus caeruleus,locus caeruleus,loci coeruleus,locus cinereus,nucleus loci caerulei,locus coeruleus (Vicq d'Azyr),,,,,,,,,,,,,,,
medullary reticular formation,reticular formation,metepencephalon reticular formation,reticular formation of metepencephalon,reticular formation of medulla oblongata,bulbar reticular formation,medulla oblongata reticular formation,medulla oblonmgata reticular formation,reticular formation of bulb,bulb reticular formation,rhombencephalic reticular formation,reticular formation of medulla,medullary reticular nucleus,reticular formation of medulla oblonmgata,formatio reticularis myelencephali,,,,,,,,,,,,,,
paragigantocellular nucleus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oral pontine reticular nucleus,"pontine reticular nucleus, rostral part",pontine reticular nucleus oral part,nucleus reticularis pontis oralis,"pontine reticular nucleus, oral part",,,,,,,,,,,,,,,,,,,,,,,,
caudal pontine reticular nucleus,"pontine reticular nucleus, caudal part",nucleus reticularis pontis caudalis,Pontine reticular nucleus caudal part,,,,,,,,,,,,,,,,,,,,,,,,,
visual association area,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interthalamic adhesion,Middle commissure,Interthalamic connection,,,,,,,,,,,,,,,,,,,,,,,,,,
subicular complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subiculum,subiculum hippocampi,subicular cortex,subiculum cornu ammonis,gyrus parahippocampalis,,,,,,,,,,,,,,,,,,,,,,,,
presubiculum,presubicular cortex (presubiculum),presubiculum (Cajal),praesubiculum,,,,,,,,,,,,,,,,,,,,,,,,,
parasubiculum,parasubicular cortex (parasubiculum),parasubicular area,parasubicular cortex,,,,,,,,,,,,,,,,,,,,,,,,,
head of caudate nucleus,caput (caudatus),caudate nuclear head,head of the caudate nucleus,caput nuclei caudati,,,,,,,,,,,,,,,,,,,,,,,,
body of caudate nucleus,caudate nuclear body,corpus (caudatus),caudate body,body of the caudate nucleus,corpus nuclei caudati,,,,,,,,,,,,,,,,,,,,,,,
neocortex,neocortex (isocortex),neopallium,homogenetic cortex,homotypical cortex,isocortex (sensu lato),neopallial cortex,cerebral neocortex,iso cortex,nonolfactory cortex,,,,,,,,,,,,,,,,,,,
koniocortex,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piriform cortex,primary olfactory areas,cortex piriformis,paleopallium,regio praepiriformis,pyriform lobe,eupalaeocortex,primary olfactory cortex,pyriform cortex,area prepiriformis,olfactory pallium,palaeocortex II,piriform area,piriform lobe,,,,,,,,,,,,,,,
temporal operculum,facies supratemporalis,operculum temporale,,,,,,,,,,,,,,,,,,,,,,,,,,
densocellular part of medial dorsal nucleus,nucleus medialis dorsalis paralamellaris (Hassler),"nucleus medialis dorsalis, pars densocellularis",densocellular part of the medial dorsal nucleus,,,,,,,,,,,,,,,,,,,,,,,,,
inferior pulvinar nucleus,nucleus pulvinaris inferior thalami,nucleus pulvinaris inferior,"nucleus pulvinaris thalami, pars inferior",,,,,,,,,,,,,,,,,,,,,,,,,
lateral pulvinar nucleus,nucleus pulvinaris lateralis (hassler),lateral pulvinar nucleus of thalamus,"nucleus pulvinaris thalami, pars lateralis",nucleus pulvinaris lateralis,nucleus pulvinaris lateralis thalami,,,,,,,,,,,,,,,,,,,,,,,
middle temporal area,,,,,,,,,,,,,,,,,,,,,,,,,,,,
periamygdaloid area,periamygdaloid region,semilunar gyrus,ventral cortical nucleus of amygdala,regio periamygdalaris,gyrus semilunaris,cortical amygdaloid nucleus,,periamygdalar area,para amygdaloid cortex,periamygdaloid cortex,posterior nucleus of the amygdala,posterior amygdalar nucleus,,,,,,,,,,,,,,,,
cortical amygdaloid nucleus,posterior cortical amygdaloid nucleus,posterior cortical nucleus of amygdala,posterior cortical nucleus of the amygdala,nucleus amygdalae corticalis,cortical amygdalar nucleus,nucleus corticalis amygdalae,cortex periamygdaloideus,cortical amygdalar area,ventral cortical nucleus,cortical amygdala,ventral cortical amygdaloid nucleus,posterior cortical amygdalar nucleus,,,,,,,,,,,,,,,,
medial amygdaloid nucleus,medial nucleus of amygdala,medial amygalar nucleus,nucleus amygdalae medialis,nucleus amygdaloideus medialis,medial amygdaloid nucleus principal part,nucleus medialis amygdalae,medial nucleus of the amygdala,medial amygdalar nucleus,medial amygdala,,,,,,,,,,,,,,,,,,,
cerebellar cortex,cortex of cerebellar hemisphere,cortex cerebellaris,cortex cerebelli,,,,,,,,,,,,,,,,,,,,,,,,,
centrum semiovale,medullary center,centrum ovale,substantia centralis medullaris cerebri,corpus medullare cerebri,semioval center,white matter of cerebrum,cerebral white matter,,,,,,,,,,,,,,,,,,,,,
ventricular system of central nervous system,ventricular system,ventricular system of neuraxis,CNS ventricular system,ventriculi cerebri,ventricle system,,,,,,,,,,,,,,,,,,,,,,,
third ventricle,3rd ventricle,ventriculus diencephali,diencephalic vesicle,ventriculus tertius cerebri,diencephalic ventricle,,,,,,,,,,,,,,,,,,,,,,,
fourth ventricle,ventricle IV,rhombencephalic vesicle,IVth ventricle,4th ventricle,ventriculus quartus,ventricle of rhombencephalon,rhombencephalic ventricle,hindbrain ventricle,ventricle of hindbrain,fourth ventricle proper,,,,,,,,,,,,,,,,,,
operculum of brain,operculum,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontal operculum,"nucleus ventralis oralis, pars medialis (Dewulf)",operculum frontale,,,,,,,,,,,,,,,,,,,,,,,,,,
opercular part of inferior frontal gyrus,"inferior frontal gyrus, pars opercularis",posterior part of inferior frontal gyrus,opercular portion of inferior frontal gyrus,pars posterior of inferior frontal gyrus,pars opercularis,"gyrus frontalis inferior, pars opercularis",pars opercularis gyri frontalis inferioris,"inferior frontal gyrus, opercular part",,,,,,,,,,,,,,,,,,,,
Brodmann (1909) area 45,area 45 of Brodmann,triangular area 45,area triangularis,"Brodmann area 45, triangular",Brodmann area 45,area 45 of Brodmann-1909,,,,,,,,,,,,,,,,,,,,,,
orbital part of inferior frontal gyrus,"pars orbitalis, inferior frontal gyrus","inferior frontal gyrus, orbital part","gyrus frontalis inferior, pars orbitalis",pars orbitalis gyri frontalis inferioris,brodmann's area 36,,,,,,,,,,,,,,,,,,,,,,,
olfactory cortex,olfactory areas,archaeocortex,olfactory lobe,archeocortex,,,,,,,,,,,,,,,,,,,,,,,,
anterior lobe of cerebellum,cerebellum anterior lobe,anterior cerebellar lobe,anterior lobe of the cerebellum,cerebellar anterior lobe,palaeocerebellum,,,,,,,,,,,,,,,,,,,,,,,
posterior lobe of cerebellum,middle lobe-1 of cerebellum,cerebellar posterior lobe,posterior lobe of the cerebellum,cerebellum posterior lobe,posterior lobe-1 of cerebellum,posterior cerebellar lobe,cerebrocerebellum,,,,,,,,,,,,,,,,,,,,,
flocculonodular lobe,cerebellum flocculonodular lobe,posterior lobe-2 of cerebellum,lobus flocculonodularis,flocculonodular lobe of cerebellum,,,,,,,,,,,,,,,,,,,,,,,,
nucleus of cerebellar nuclear complex,deep cerebellar nucleus,cerebellar nucleus,,,,,,,,,,,,,,,,,,,,,,,,,,
cerebellar hemisphere,hemisphere of cerebellum [H II - H X],hemisphere of cerebellum,hemispherium cerebelli [H II - H X],hemispherium cerebelli [hII-hX],cerebellum hemisphere,cerebellar hemispheres,hemispherium cerebelli,,,,,,,,,,,,,,,,,,,,,
hemisphere part of cerebellar anterior lobe,hemispherium lobus anterior,hemisphere of anterior lobe,hemisphere of anterior lobe of cerebellum,,,,,,,,,,,,,,,,,,,,,,,,,
hemisphere part of cerebellar posterior lobe,hemispherium lobus posterior,hemisphere of posterior lobe of cerebellum,hemisphere of posterior lobe,,,,,,,,,,,,,,,,,,,,,,,,,
cerebellum anterior vermis,vermis of anterior lobe,anterior cerebellum vermis,vermis of anterior lobe of cerebellum,vermis of the anterior lobe of the cerebellum,anterior vermis of cerebellum,vermis lobus anterior,part of vermal region,anterior lobe vermis,,,,,,,,,,,,,,,,,,,,
cerebellum posterior vermis,vermis lobus posterior,vermis of the posterior lobe of the cerebellum,vermis of posterior lobe of cerebellum,posterior cerebellum vermis,vermis of posterior lobe,posterior lobe vermis,,,,,,,,,,,,,,,,,,,,,,
parietal operculum,operculum parietale,,,,,,,,,,,,,,,,,,,,,,,,,,,
orbitofrontal cortex,orbito frontal cortex,orbital frontal cortex,fronto orbital cortex,segment of cortex of frontal lobe,,,,,,,,,,,,,,,,,,,,,,,,